Europe & Central Asia (IDA & IBRD countries),22985330.6
Togo,54390.0
Thailand,510890.0
Tajikistan,138790.0
Turkmenistan,469930.0
Latin America & the Caribbean (IDA & IBRD countries),19912693.0
Timor-Leste,14870.0
Middle East & North Africa (IDA & IBRD countries),8628823.0
Tonga,720.0
South Asia (IDA & IBRD),4770120.0
Sub-Saharan Africa (IDA & IBRD countries),23890863.09
Trinidad and Tobago,5130.0
Tunisia,155360.0
Turkiye,769630.0
Tuvalu,30.0
Tanzania,885800.0
Uganda,200520.0
Ukraine,579400.0
Upper middle income,54854105.6
Uruguay,175020.0
United States,9147420.0
Uzbekistan,440650.0
St. Vincent and the Grenadines,390.0
"Venezuela, RB",882050.0
British Virgin Islands,150.0
Virgin Islands (U.S.),350.0
Viet Nam,313429.0
Vanuatu,12190.0
World,129939343.2
Samoa,2780.0
"Yemen, Rep.",527970.0
South Africa,1213090.0
Zambia,743390.0
Zimbabwe,386850.0
